Minute,Forecast_SM,Cluster_Used
1,0.4354139297403413,2
2,0.4340057148364235,1
3,0.43397516814395226,1
4,0.4335707647257913,1
5,0.43344715039624737,1
6,0.4334049034424343,1
7,0.4333910922433372,1
8,0.43338430164165004,1
9,0.43377262518642856,1
10,0.4338981526221576,1
11,0.43395200202303963,1
12,0.4339627655585065,2
13,0.43395556166948596,2
14,0.43354936190542054,1
15,0.433405429524605,1
16,0.43333834611695715,1
17,0.43333371580076646,1
18,0.4334047518743717,1
19,0.43357998746615684,1
20,0.43380999288232036,1
21,0.43393806525156514,1
22,0.4340852611923792,1
23,0.4342523755558814,2
24,0.4342342891680892,1
25,0.4342533021478453,1
26,0.4342944171878423,2
27,0.4343784911990626,1
28,0.4343060310906369,2
29,0.43439170185377224,1
30,0.43447901298870095,2
31,0.4346687766436466,1
32,0.43477151952224846,1
33,0.4349471904316087,1
34,0.4350575760416448,1
35,0.43507108410461676,1
36,0.43506527517049765,1
37,0.4350612982712745,1
38,0.43507123038542134,1
39,0.43506822546045987,1
40,0.43506121191272723,1
41,0.4350489763165132,1
42,0.43504813388007235,1
43,0.4350455061128479,1
44,0.43504855157345407,1
45,0.43505518443861096,1
46,0.4350546583564403,1
47,0.4350443534906047,1
48,0.4350280061700885,1
49,0.43501239465964353,1
50,0.43500057146955323,1
51,0.434991735580231,1
52,0.4349839218941215,1
53,0.4349787491933814,1
54,0.43497619280414,1
55,0.4349763020741386,1
56,0.4349761593181727,1
57,0.43497593637212717,1
58,0.43497663869623104,1
59,0.4349793008306324,1
60,0.4349836760366247,1
61,0.43499153202079816,1
62,0.4350017425971995,1
63,0.43501300798157116,1
64,0.435024510411343,1
65,0.4350354418172512,1
66,0.4350474835473387,1
67,0.4350591648626728,1
68,0.435068438713199,1
69,0.4349666977699876,1
70,0.4347621055593853,1
71,0.43450413980112074,0
72,0.4342205687335877,0
73,0.4339256419576922,0
74,0.43373289761105094,0
75,0.4336376212219501,0
76,0.43359137049201896,0
77,0.4335682682588071,0
78,0.4335549593492198,0
79,0.4335447042717303,0
80,0.4335367125812683,0
81,0.4335305300142508,0
82,0.4335251484668198,0
83,0.4335205846819589,0
84,0.43351844025823644,0
85,0.43351832217614117,0
86,0.4335192104354846,0
87,0.4335208159994963,0
88,0.43352250792205527,0
89,0.4335235653736546,0
90,0.4335223968896373,0
91,0.4335188905563758,0
92,0.4335160292685899,0
93,0.4335150528882799,0
94,0.4335145893719955,0
95,0.4335140606461958,0
96,0.43351451975643185,0
97,0.4335154124218236,0
98,0.43351737399454043,0
99,0.43352130330844163,0
100,0.4335268293742579,0
101,0.4335314063772637,0
102,0.43353304807087173,0
103,0.433531585262826,0
104,0.43352899979366555,0
105,0.4335273448819126,0
106,0.4335273995169119,0
107,0.43352868520181476,0
108,0.4335295386533764,0
109,0.43352842921040674,0
110,0.4335253674474218,0
111,0.43352326928720675,0
112,0.43352421130033986,0
113,0.43352802032912163,0
114,0.4335330749477665,0
115,0.4335371756569478,0
116,0.4335380524605656,0
117,0.4335354299805992,0
118,0.43353116228218624,0
119,0.43352719948231766,0
120,0.43352490789658094,0
121,0.4335238442765139,0
122,0.4335226934166899,0
123,0.43352085080727815,0
124,0.4335186583576288,0
125,0.4335167113248715,0
126,0.43351616938092685,0
127,0.4335178595410665,0
128,0.4335212539607004,0
129,0.4336304680024854,0
130,0.43383080881705344,0
131,0.43407214086166035,3
132,0.4343375206774509,3
133,0.4346210322633315,3
134,0.4348072296627583,3
135,0.43490009285918846,3
136,0.43494738385713044,3
137,0.43496760233170984,3
138,0.434966474823942,3
139,0.4349372962094775,3
140,0.4349054567824261,3
141,0.43489741133817444,3
142,0.434893049790932,3
143,0.4348592258797125,3
144,0.4348188184510774,3
145,0.43476854059297215,3
146,0.4346910523021916,3
147,0.4346055793706264,3
148,0.4345341018109784,3
149,0.4344666430080128,3
150,0.43439051530495676,3
151,0.4342988144240762,3
152,0.4342011433477077,3
153,0.43411924944920144,3
154,0.4340525973936852,3
155,0.4339948129510391,3
156,0.43394649358141674,3
157,0.4339038492020442,3
158,0.43386520639576553,3
159,0.43383604452428465,3
160,0.43381816125532047,3
161,0.43381018718905173,3
162,0.43380947208740767,3
163,0.43381227080930723,3
164,0.43382513426740843,3
165,0.4338581818329121,3
166,0.43390821515533506,3
167,0.433963460832933,3
168,0.4340144608423597,3
169,0.43405429460350214,3
170,0.43408089523908844,3
171,0.4340968962442058,3
172,0.4341065578269852,3
173,0.4341144816643029,3
174,0.4341220287844884,3
175,0.4341272781504694,3
176,0.43413341004793116,3
177,0.4341446551644805,3
178,0.43415946301170993,3
179,0.43417622670379336,3
180,0.4341933340676466,3
181,0.4342083534051959,3
182,0.4342198536319436,3
183,0.43422727606096134,3
184,0.4342287014175963,3
185,0.43422453461769006,3
186,0.43421577803723777,3
187,0.4342050603246736,3
188,0.4341962094547871,3
189,0.4341907181967527,3
190,0.43418863986375517,3
191,0.4341904749828849,3
192,0.43419535071596754,3
193,0.43420117198702185,3
194,0.4342071981393236,3
195,0.43421217917696137,3
196,0.43421373451202205,3
197,0.43421032467121906,3
198,0.43420261452724535,3
199,0.43419259473273675,3
